speaker,Encounter With,season,Shared Episodes
Stanley,Dwight,3,23
Stanley,Dwight,4,13
Stanley,Dwight,5,25
Stanley,Dwight,6,20
Stanley,Dwight,7,21
Stanley,Dwight,8,22
Stanley,Dwight,9,20
Dwight,Todd Packer,1,2
Dwight,Todd Packer,2,3
Dwight,Todd Packer,6,2
Dwight,Todd Packer,7,1
Dwight,Todd Packer,8,2
Dwight,Todd Packer,9,1
Todd Packer,Dwight,1,2
Todd Packer,Dwight,2,3
Todd Packer,Dwight,6,2
Todd Packer,Dwight,7,1
Todd Packer,Dwight,8,2
Todd Packer,Dwight,9,1
Jan,Jim,1,3
Jan,Jim,2,11
Jan,Jim,3,16
Jan,Jim,4,7
Jan,Jim,5,2
Jan,Jim,7,2
Jan,Jim,9,2
Jim,Jan,1,3
Jim,Jan,2,11
Jim,Jan,3,16
Jim,Jan,4,7
Jim,Jan,5,2
Jim,Jan,7,2
Jim,Jan,9,2
Jan,Kevin,1,3
Jan,Kevin,2,10
Jan,Kevin,3,16
Jan,Kevin,4,6
Jan,Kevin,5,2
Jan,Kevin,7,2
Jan,Kevin,9,2
Kevin,Jan,1,3
Kevin,Jan,2,10
Kevin,Jan,3,16
Kevin,Jan,4,6
Kevin,Jan,5,2
Kevin,Jan,7,2
Kevin,Jan,9,2
Jan,Man,1,1
Jan,Man,2,1
Jan,Man,3,3
Jan,Man,4,2
Man,Jan,1,1
Man,Jan,2,1
Man,Jan,3,3
Man,Jan,4,2
Jan,Michael,1,3
Jan,Michael,2,11
Jan,Michael,3,16
Jan,Michael,4,7
Jan,Michael,5,2
Jan,Michael,7,2
Michael,Jan,1,3
Michael,Jan,2,11
Michael,Jan,3,16
Michael,Jan,4,7
Michael,Jan,5,2
Michael,Jan,7,2
Jan,Michel,1,1
Jan,Michel,7,1
Michel,Jan,1,1
Michel,Jan,7,1
Jan,Oscar,1,3
Jan,Oscar,2,10
Jan,Oscar,3,4
Jan,Oscar,4,6
Jan,Oscar,5,2
Jan,Oscar,7,1
Jan,Oscar,9,2
Oscar,Jan,1,3
Oscar,Jan,2,10
Oscar,Jan,3,4
Oscar,Jan,4,6
Oscar,Jan,5,2
Oscar,Jan,7,1
Oscar,Jan,9,2
Jan,Pam,1,3
Jan,Pam,2,11
Jan,Pam,3,16
Jan,Pam,4,7
Jan,Pam,5,2
Jan,Pam,7,2
Jan,Pam,9,2
Pam,Jan,1,3
Pam,Jan,2,11
Pam,Jan,3,16
Pam,Jan,4,7
Pam,Jan,5,2
Pam,Jan,7,2
Pam,Jan,9,2
Jan,Phyllis,1,1
Jan,Phyllis,2,11
Jan,Phyllis,3,14
Jan,Phyllis,4,7
Jan,Phyllis,5,2
Jan,Phyllis,7,1
Jan,Phyllis,9,2
Phyllis,Jan,1,1
Phyllis,Jan,2,11
Phyllis,Jan,3,14
Phyllis,Jan,4,7
Phyllis,Jan,5,2
Phyllis,Jan,7,1
Phyllis,Jan,9,2
Jan,Roy,1,2
